price,date
"$13,995.00","Sold  Sep 11, 2022Sold Item"
"$17,900.00","Sold  Aug 19, 2022Sold Item"
"$20,000.00","Sold  Sep 20, 2022Sold Item"
"$18,400.00","Sold  Sep 15, 2022Sold Item"
"$35,000.00","Sold  Sep 10, 2022Sold Item"
"$11,500.00","Sold  Aug 20, 2022Sold Item"
"$17,540.00","Sold  Aug 18, 2022Sold Item"
"$17,500.00","Sold  Aug 15, 2022Sold Item"
"$20,950.00","Sold  Aug 14, 2022Sold Item"
"$17,999.00","Sold  Aug 1, 2022Sold Item"
"$13,900.00","Sold  Jul 20, 2022Sold Item"
"$7,950.00","Sold  Jul 20, 2022Sold Item"
"$19,500.00","Sold  Jul 8, 2022Sold Item"
